author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet,Topic
164752952,2022-04-01 23:59:20+00:00, ,1510044171800825866,en,1,0,1,0,Twitter for iPhone,"@LillianCarrier0 It was...not boring? 
I learned “what” I was only ~6-7 years ago, but in retrospect I was pretty damn autistic from day 1.
Unfortunately those “you don’t look...” myths were a part of the delay—even internally.
I mask less now, far less, but also found a social skill or two.",Autism masking
101400553,2022-04-01 23:41:49+00:00, ,1510039765604876294,en,8,0,1,2,Twitter Web App,"If you were diagnosed with ADHD in childhood and realized/ were diagnosed as autistic when you were an adult, do you feel like your adhd hid or masked your autism? #askadhd",Autism masking
1444869864900943874,2022-04-01 23:24:55+00:00, ,1510035512324759556,en,4,0,0,0,Twitter for iPhone,i mask my autism so well ir,Autism masking
1246415092108926977,2022-04-02 23:56:01+00:00, ,1510405723871719424,en,3,0,1,0,Twitter Web App,"I don't talk a lot about my autism or my ADHD on my streams or to people in general because i don't believe that my disorders define me. 

But i also want to open up to people more and talk about how these disorders may have had an effect on shaping me into the person i am today.",Autism masking
995273862739779586,2022-04-02 23:53:46+00:00, ,1510405159221821445,en,4,0,0,1,Twitter for Android,"People don't like to talk about it but in regards to LRT, a lot of people drop autistic behaviours and stims and quirks because it's physically or verbally abused out of them. If one of your autistic friends becomes uncomfortable around certain behaviours, be aware of this.",Autism masking
1230214754079133696,2022-04-02 23:52:30+00:00, ,1510404842115637252,en,240,0,25,6,Twitter for Android,"So today I spoke at the amazing #StopTheDraft Curriculum rally in #yeg

To say I was shaking is to put it mildly. I'm autistic, I have ADHD and severe anxiety. So of course this is not easy. 
1/",Autism masking
1148260701783429121,2022-04-02 23:39:21+00:00, ,1510401530003963907,en,5,0,3,2,Twitter Web App,"I need Autism UNDERSTANDING more than anything. Acceptance means understanding that i am masking even in my own home, with my family. And CONSTANTLY making compromises that are harder for me than for others.",Autism masking
1245794741356072960,2022-04-03 23:31:12+00:00, ,1510761866691514368,en,1,0,0,1,Twitter for Android,"Masking is extremely detrimental to people's mental health, why should autistic people be forced to sacrifice their mental health for societal acceptance? Masking leads to fast burn out, depression anxiety etc.",Autism masking
1245794741356072960,2022-04-03 23:23:59+00:00, ,1510760051765813249,en,1,0,1,1,Twitter for Android,"I'm always happy to see autistic people refusing to mask for our NT society, Autistic people are constantly expected to change everything that makes them who they are. Imo as an Autistic person it's extremely important to unmask as much as possible. #AutismAcceptance",Autism masking
296595282,2022-04-05 23:07:50+00:00, ,1511480764545867790,en,27,0,1,0,Twitter for Android,@keffals Autism is basically easier to hide as an adult bc its mostly just a lack of having social skills. This is what is was with me especially. You don't grow out of it but you eventually catch up and adjust to it,Autism masking
435199431,2022-04-05 23:02:52+00:00, ,1511479512273506311,en,9,0,1,2,Twitter for iPhone,Autistic masking is a trauma response to the authentic self being rejected early and continually throughout one’s lifetime. #AutismAcceptanceMonth,Autism masking
840659814,2022-04-05 22:59:45+00:00, ,1511478728970358792,en,2,0,0,0,Twitter for iPhone,Coming to terms with the fact that I'm autistic and trying to not act not autistic is cool for my brain bc I don't feel crippling self hatred but it's not cool for my brain because now I'm worried that everyone thinks im more annoying than they thought I was before.,Autism masking
1246595494886899713,2022-04-06 23:57:00+00:00, ,1511855522697392138,en,19,0,1,0,Twitter Web App,"I am #ActuallyAutistic. Please don't say ""maybe you've just internalized it."" No, I'm actually just masking my autistic traits &amp; working super hard to self-regulate. Last week, I took a bath in darkness after work to deal w/ sensory overload. Not faking it. #AutismAcceptanceMonth",Autism masking
820885078997745666,2022-04-06 23:39:03+00:00, ,1511851005780004867,en,0,0,0,2,dlvr.it,What is autism masking? Understanding this complex survival strategy in adults - WDIV ClickOnDetroit || #AutismNews Courtesy of Rick Kirkham The Only In Home Tutor On Oahu Specializing in ADHD With ADHD Subscribe by Following on Twitter InHomeTutor808… https://t.co/oKgEk4RjA8,Autism masking
820885078997745666,2022-04-07 23:59:35+00:00, ,1512218563246915585,en,0,0,0,2,dlvr.it,Loyola professor Devon Price writes about the pain of hiding his autism and the rewards of ‘unmasking’ himself - Yahoo News || #AutismNews Courtesy of Rick Kirkham The Only In Home Tutor On Oahu Specializing in ADHD With ADHD Subscribe by Following on… https://t.co/NtNbJBT76H,Autism masking
38258566,2022-04-07 23:44:44+00:00, ,1512214823609810957,en,1,0,0,0,Twitter for iPhone,"@draevans Absolutely not, though the attitudes of others can cause it to feel like one. Left alone I deal with autism, though years of masking have left scars and mental health problems",Autism masking
901652115206103040,2022-04-07 23:35:35+00:00, ,1512212524048924672,en,0,0,2,0,Twitter for Android,@CodeyStansNoah @Clever_Courier But I'm autistic and I can mask and follow social &amp; behavioral norms. You're saying that's neurotypical?,Autism masking
820885078997745666,2022-04-07 23:29:03+00:00, ,1512210878480850949,en,0,0,0,2,dlvr.it,What is autism masking? Understanding this complex survival strategy in adults - WKMG News 6 &amp; ClickOrlando || #AutismNews Courtesy of Rick Kirkham The Only In Home Tutor On Oahu Specializing in ADHD With ADHD Subscribe by Following on Twitter… https://t.co/hQFpxEDtLu,Autism masking
7313362,2022-04-07 23:19:24+00:00, ,1512208450494902281,en,11,0,1,3,Twitter,"Loyola University Chicago Professor Devon Price's book, ""Unmasking Autism,"" discusses how painful it was to hide that he is autistic. https://t.co/NsgWEjaeae",Autism masking
1334195556999196672,2022-04-07 23:14:04+00:00, ,1512207105364795398,en,0,0,0,0,Twitter for iPhone,"A great explanation of #Masking and why it took so long for my oldest to get diagnosed with #Autism. Masking is especially common in highly intelligent females. 

#Autism #AutismMasking #AutismAcceptance https://t.co/YeTVeoz0kT",Autism masking
1292847362109345793,2022-04-07 23:05:58+00:00, ,1512205069453733889,en,1,0,0,0,Twitter for iPhone,"my m*ther just said that autistic people can’t imitate others, does- does she know what masking is",Autism masking
1449464399387926529,2022-04-01 23:54:30+00:00, ,1510042954664132608,en,1,0,1,0,Twitter Web App,"(2/?)
3) Autism is a spectrum. There is no severe or mild autism. We're all just unique.
4) My journey has similarities to other girls'. I'm told girls tend to be better at masking. This was true in my experience, yet everyone is different. A lot of girls are misdiagnosed due to",Diagnosis
1329080106002726912,2022-04-01 23:52:38+00:00, ,1510042485170573313,en,3,0,1,2,Twitter for Mac,"A Stanford-developed AI algorithm was able to determine if patients have autism by analyzing scans of brain activity. The algorithm could also predict the severity of symptoms for each patient, according to a new study. #ai #healthcare",Diagnosis
1265809166498660353,2022-04-01 23:51:15+00:00, ,1510042135600451587,en,8,1,0,2,Twitter for Android,"Saturday April 2 is #WorldAutismDay 
The American Academy of Pediatrics and @TheACMG recommend genetic testing for children with autism spectrum disorder.",Diagnosis
1484335098967126016,2022-04-01 23:48:00+00:00, ,1510041317753204738,en,13,0,2,10,Twitter for iPhone,"“On World Autism Awareness Day, we reaffirm our commitment to ensuring that the more than 5 million Americans who live with autism are able to make the most of their talents and participate fully in our society.” – @POTUS 

#AutismAcceptanceMonth 

 https://t.co/khorQPyZqy",Diagnosis
1169789965921923072,2022-04-01 23:44:40+00:00, ,1510040482524581889,en,0,0,1,0,Twitter for Android,"I went thru a lot of the same before I was diagnosed &amp; I remember I'd look up like ""why do I do (thing)"" &amp; I'd always get answers along the lines of ""that's a common behavior of those with adhd/autism/etc"" and then I'd exit out really fast and try to ignore it lol. He does that",Diagnosis
917455779514519552,2022-04-01 23:38:04+00:00, ,1510038821399846912,en,2,0,0,1,Twitter Web App,"Approximately 1 in 44 children has been diagnosed with some form of ASD. Autism Awareness Day hopes shed more light on ASD, as well as work against the stigma surrounding autism!
Share your story here: https://t.co/qHx4EUrs7a",Diagnosis
917455779514519552,2022-04-01 23:38:04+00:00, ,1510038818409299969,en,9,0,1,4,Twitter Web App,"Tomorrow is Autism Awareness Day! Did you know? Autism is 4.3 times more prevalent in young boys than in young girls. Young girls often go undiagnosed due to stereotypes surrounding autism spectrum disorder, or ASD. #LightItUpBlue #AutismAcceptance #AutismAwareness https://t.co/xUm3ABQxb4",Diagnosis
982730607779201024,2022-04-01 23:36:52+00:00, ,1510038519174946817,en,1,0,0,1,Twitter Web App,"April is Autism Awareness Month 

Autism Spectrum Disorder (ASD) is a complex neurological development condition that affects an estimated 1 in 59 children according to the CDC’s Autism and Developmental Disabilities Monitoring (ADDM) network. #AutismAwareness #PearlofAfrica https://t.co/ehSfAIUqbn",Diagnosis
1395414460609843204,2022-04-01 23:34:44+00:00, ,1510037980689412098,en,1,0,0,0,Twitter for iPhone,"@Cimrai I was diagnosed with autism at a very young age and have adhd which the adhd is sorta in remission but i still have little bursts every now and then of it
Btw thank u for making this post im happy to see there are many others like me in this community 💙😊",Diagnosis
135383865,2022-04-01 23:32:16+00:00, ,1510037361937489920,en,0,0,0,0,Twitter Web App,"New AI-Driven Algorithm Can Detect Autism in Brain “Fingerprints” https://t.co/ifV3MGDKpy 
#neuroscience #AI #ArtificialIntelligence",Diagnosis
1474123214368522249,2022-04-01 23:30:38+00:00, ,1510036947854581763,en,9,0,1,0,Twitter for Android,"@Cimrai I wonder if it's a common thing that families have 3 autistic kids?? personally I think it's being brought up that way traits get developed and changed.
Me and both my brother's are autistic somehow",Diagnosis
26485105,2022-04-01 23:30:06+00:00, ,1510036812999413762,en,0,0,0,0,TweetDeck,"@MagicMuze that is really interesting, seems like inflammatory responses may be far more damaging than initially thought, i know other studies have shown genetic links between autism and schizophrenia so that is not a big surprise",Diagnosis
1324167438011932676,2022-04-01 23:26:09+00:00, ,1510035821335912449,en,7,0,3,0,Twitter Web App,"I saw a video today of that Greg Locke pastor talking about how doctors are diagnosing ""demon possessed children"" as autistic.
I just...I can't take this crap. It's driving me crazy that people like him are allowed freedom of speech. How has he not been arrested by now?",Diagnosis
